timeStep pedestrianId overlapPedestrianId distance-PID3 overlaps-PID3
11 6 15 0.3972892674580062 0.002710732541993832
11 12 15 0.39254652187066535 0.0074534781293346675
12 6 15 0.3972892674580062 0.002710732541993832
12 12 15 0.39254652187066535 0.0074534781293346675
13 6 15 0.3972892674580062 0.002710732541993832
13 12 15 0.39254652187066535 0.0074534781293346675
14 6 15 0.3972892674580062 0.002710732541993832
14 12 15 0.39254652187066535 0.0074534781293346675
15 6 15 0.3972892674580062 0.002710732541993832
19 13 19 0.3962438423201063 0.0037561576798937346
19 16 18 0.3966672889754595 0.0033327110245405245
20 13 19 0.3962438423201063 0.0037561576798937346
20 16 18 0.3966672889754595 0.0033327110245405245
21 13 19 0.3962438423201063 0.0037561576798937346
21 16 18 0.3966672889754595 0.0033327110245405245
22 13 19 0.3962438423201063 0.0037561576798937346
22 16 18 0.3966672889754595 0.0033327110245405245
